,coordinates
324,"[51.5424623, -0.1079689]"
325,"[51.5309249, -0.08261919999999999]"
326,"[51.5331193, -0.09782350000000001]"
327,"[51.542808, -0.0856614]"
328,"[51.5359686, -0.0863326]"
329,"[51.5398828, -0.1118254]"
330,"[51.54189419999999, -0.09422939999999999]"
331,"[51.5378025, -0.121016]"
332,"[51.5414858, -0.0875017]"
333,"[51.5348385, -0.09777029999999999]"
334,"[51.53982329999999, -0.1170511]"
335,"[51.5359686, -0.0863326]"
336,"[51.5448209, -0.0877645]"
337,"[51.53852329999999, -0.0932523]"
338,"[51.5390582, -0.0923828]"
339,"[51.539626, -0.119783]"
340,"[51.5414349, -0.0835949]"
341,"[51.539626, -0.119783]"
342,"[51.54566939999999, -0.100149]"
343,"[51.5359686, -0.0863326]"
344,"[51.5409138, -0.1040136]"
345,"[51.5423453, -0.1023859]"
346,"[51.5465063, -0.1058058]"
347,"[51.54126729999999, -0.0897063]"
348,"[51.5390738, -0.1190965]"
349,"[51.5393151, -0.0860955]"
350,"[51.5348336, -0.1002359]"
351,"[51.5377389, -0.0886877]"
352,"[51.5359686, -0.0863326]"
353,"[51.533849, -0.0973888]"
354,"[51.5393403, -0.1021969]"
355,"[51.5359686, -0.0863326]"
356,"[51.535325, -0.09670609999999999]"
357,"[51.5359686, -0.0863326]"
358,"[51.535325, -0.09670609999999999]"
359,"[51.5481483, -0.0838722]"
360,"[51.5414113, -0.1202362]"
361,"[51.53506410000001, -0.1039699]"
362,"[51.5418093, -0.1081867]"
363,"[51.54019640000001, -0.1070124]"
364,"[51.54137559999999, -0.1079238]"
365,"[51.5388299, -0.077633]"
366,"[51.535525, -0.1044989]"
367,"[51.5424129, -0.1032577]"
368,"[51.5435508, -0.1109889]"
369,"[51.5369927, -0.1034097]"
370,"[51.5421682, -0.0890709]"
371,"[51.5432758, -0.1084189]"
372,"[51.5391736, -0.1145671]"
373,"[51.5411621, -0.08889849999999999]"
374,"[51.54106729999999, -0.0998092]"
375,"[51.53834879999999, -0.1214507]"
376,"[51.53363299999999, -0.1059606]"
377,"[51.5370199, -0.092849]"
378,"[51.5389019, -0.0938565]"
379,"[51.54384229999999, -0.1035495]"
380,"[51.5493215, -0.08328859999999999]"
381,"[51.5425305, -0.1175366]"
382,"[51.5399781, -0.1066028]"
383,"[51.5354146, -0.1194819]"
384,"[51.5359686, -0.0863326]"
385,"[51.5470304, -0.0933275]"
386,"[51.5273291, -0.080606]"
387,"[51.5386944, -0.08168009999999999]"
388,"[51.53668709999999, -0.0942692]"
389,"[51.5389681, -0.1072733]"
390,"[51.5406445, -0.1063479]"
391,"[51.5294692, -0.0845045]"
392,"[51.5294692, -0.0845045]"
393,"[51.5489142, -0.0813758]"
394,"[51.54211549999999, -0.1174326]"
395,"[51.5303717, -0.0936741]"
